Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
162 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L-27/813839103/x10/OasDefault/93373_209668_QuismaHollywood_box1/quisma10.html/572b63595731616a6851454144755847,5,40,31,56,"8,74","0,00%","7,6","3,63","492,0"
163 /adi/9742/9976/59417,5,148,125,185,"22,75","0,00%","6,3","11,21","1822,6"
161 /Uk0vQm94LzIwMTYtMDEvX21pcmVrLzA3/tapeta_1920x1200.jpg,5,356,284,393,"38,56","0,00%","5,3","544,63","104959,0"
164 /ul_cb/adi/9742/9976/59417,5,83,54,109,"18,45","0,00%","7,2","12,08","1719,0"
167 /push_sync,5,68,53,89,"13,80","0,00%","7,3","2,38","334,0"
166 /ai.aspx,5,145,110,209,"35,54","0,00%","6,5","9,98","1561,2"
165 /file/63bf937ebfce1a659667f717d0ad6c36.png,5,240,209,265,"20,13","0,00%","6,5","105,33","16588,0"
168 /sync,5,158,97,222,"45,96","0,00%","7,1","3,70","530,8"
169 /tagr/v1/imp,5,121,114,135,"8,56","0,00%","7,9","4,84","628,0"
170 /tagr/v1/sync,5,62,54,80,"9,50","0,00%","8,4","5,13","628,0"
171 /ul_cb/sync,5,77,62,91,"12,38","0,00%","8,2","3,04","380,0"
172 /pixel,5,252,202,324,"45,65","0,00%","6,6","14,87","2302,0"
173 /pixel,5,156,137,173,"13,09","0,00%","8,4","10,63","1302,0"
175 /a/i/stg/500/wpsocial_1.3.0.css,5,52,39,76,"15,69","0,00%","10,2","36,51","3656,0"
177 /en_US/fbevents.js,5,155,140,189,"19,50","0,00%","8,2","31,07","3900,8"
178 /gather,5,108,95,123,"12,19","0,00%","9,2","8,03","896,0"
179 /scripts/retargeting.js,5,82,56,96,"13,84","0,00%","9,5","68,48","7419,0"
180 /scripts/btest/advertisement.js,5,233,69,812,"289,78","0,00%","6,1","1,74","293,0"
176 /pl_PL/sdk.js,5,247,234,266,"13,80","0,00%","5,1","266,41","53414,2"
182 /getCookie/,5,78,61,101,"13,62","0,00%","6,2","6,87","1129,0"
181 /scripts/bcookie/BCookie.swf,5,251,60,938,"344,02","0,00%","5,1","10,74","2174,0"
183 /connect/xd_arbiter.php,5,306,217,514,"106,76","0,00%","4,2","138,67","33852,0"
184 /api/tagUser/,5,82,65,126,"22,23","0,00%","6,1","3,77","632,2"
185 /insertProbe?v=3.0,5,79,72,89,"5,46","0,00%","5,9","2,86","494,6"
186 /serving/cookie/match/,5,347,262,396,"46,49","0,00%","4,5","4,34","992,0"
189 /_1453557646106/rexdot.js,5,142,123,181,"19,98","0,00%","5,5","7,03","1311,0"
Grupa w¹tków:43 /Uk0vQm94LzIwMTYtMDEvX2tqL2tvbWZvcnQyLzMzMA==/images/panel.jpg,1,84,84,84,"0,00","0,00%","11,9","199,77","17183,0"
Grupa w¹tków:46 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/256760563/x57/OasDefault/93345_209567_BlaBla_SG-wp_box57/81050_1624712625318625319625843625845626524628641648986649002651220.html/572b63595731616a6851454144755847,2,84,83,85,"1,00","0,00%","6,9","3,33","492,0"
Grupa w¹tków:47 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/621147073/x19/OasDefault/93493-210020_WP_ITF_geobox_CPC/841731611681612792614656614657614658614659622624644744645568648323648951.html/572b63595731616a6851454144755847,3,97,81,111,"12,39","0,00%","7,1","3,41","492,0"
Grupa w¹tków:67 /a/i/wiadomosci/favicon/favicon-160x160.png,5,87,51,164,"40,56","0,00%","2,3","24,69","11057,0"
Grupa w¹tków:54 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1682830291/x53/OasDefault/93420_209832_BingoSpa_EcLarge/85482_193274_BingoSpa_EcLarge_01601772.html/572b63595731616a6851454144755847,4,83,72,89,"6,61","0,00%","4,1","1,98","492,0"
Grupa w¹tków:69 /a/i/wiadomosci/favicon/favicon-16x16.png,5,43,34,55,"8,78","0,00%","2,3","2,89","1298,0"
Grupa w¹tków:44 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1480481666/x56/OasDefault/93372_209647_Esky_SG-wp_box56_01/73499_podmi494649496649498650601650617650619650620650625.html/572b63595731616a6851454144755847,1,95,95,95,"0,00","0,00%","10,5","5,06","492,0"
Grupa w¹tków:48 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1277394741/x23/OasDefault/93455_209919_Lorem-geodoubleboks_01/geobox-ads1a645098645300.jpg.html/572b63595731616a6851454144755847,3,88,77,100,"9,39","0,00%","7,1","3,43","492,0"
Grupa w¹tków:70 /a/i/wiadomosci/favicon/favicon-32x32.png,5,45,38,64,"9,62","0,00%","2,3","4,42","1990,0"
Grupa w¹tków:45 /Uk0vQm94LzIwMTYtMDEvX2tqL2tvbWZvcnQyLzMzMA==/images/wykladzina.jpg,1,45,45,45,"0,00","0,00%","22,2","412,89","19026,0"
Grupa w¹tków:55 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1445619734/x54/OasDefault/93318_209504_Endo_SG-wp_EClarge_05/919841643539649587.html/572b63595731616a6851454144755847,4,86,71,96,"9,28","0,00%","4,1","1,97","492,0"
Grupa w¹tków:68 /a/i/wiadomosci/favicon/favicon-96x96.png,5,68,40,128,"31,56","0,00%","2,2","13,26","6204,0"
Grupa w¹tków:49 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/2024054226/x25/OasDefault/93514_210046_NET_IDEAS-geodoubleboks_01/210046_baner3650567.html/572b63595731616a6851454144755847,3,81,77,88,"4,64","0,00%","7,1","3,42","492,0"
Grupa w¹tków:56 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1575628087/x55/OasDefault/93419_209827_bonprix_EcLarge_01/80618_182947_Bonprix_EcLarge_01585352585354585647597500597671599295610257643493645319648190649400650983.html/572b63595731616a6851454144755847,4,92,76,111,"15,24","0,00%","3,9","1,90","492,0"
